Company,TypeName,Ram,OpSys,Weight,TouchScreen,Ips,Cpu_Speed,Cpu_Type,Gpu_vender,HDD,SSD,ppi,Price_USD
HP,Notebook,6,Windows 10,1.91,0,0,1.6,Intel Core i5,AMD,0,256,141.21199808219862,649.95
Lenovo,2 in 1 Convertible,4,Windows 10,1.74,1,1,2.4,Intel Core i3,Intel,0,256,157.3505121487356,660.45
Asus,2 in 1 Convertible,8,Windows 10,1.1,1,0,1.6,Intel Core i5,Intel,0,256,165.6321180513006,1380.75
Dell,2 in 1 Convertible,8,Windows 10,1.56,1,0,1.8,Intel Core i7,Intel,0,256,141.21199808219862,1101.45
Toshiba,Notebook,4,Windows 10,2.1,0,0,2.2,Intel Core i3,Intel,500,0,100.45466986113652,469.35
Asus,Notebook,4,Windows 10,2.03,0,0,3.0,AMD Processor,AMD,1000,0,100.45466986113652,423.15
Acer,Notebook,4,Windows 10,3.0,0,1,1.6,Intel Core i5,Nvidia,0,256,127.33567457123112,845.25
Dell,Notebook,8,Windows 10,2.13,0,0,1.6,Intel Core i5,AMD,0,256,141.21199808219862,764.4
Lenovo,Gaming,16,Windows 10,2.5,0,1,2.8,Intel Core i7,Nvidia,0,256,141.21199808219862,1132.95
Acer,Notebook,4,Windows 10,2.1,0,0,1.1,Other Intel Processor,Intel,1000,0,100.45466986113652,365.4
MSI,Gaming,16,Windows 10,2.4,0,1,2.8,Intel Core i7,Nvidia,1000,256,141.21199808219862,1888.95
Acer,Notebook,4,Windows 10,2.1,0,0,1.1,Other Intel Processor,Intel,1000,0,100.45466986113652,381.69
Dell,Gaming,8,Windows 10,2.56,0,0,2.8,Intel Core i7,Nvidia,1000,128,141.21199808219862,1113.51
Acer,Notebook,8,Windows 10,3.0,0,1,1.6,Intel Core i5,Nvidia,0,256,127.33567457123112,896.7
HP,Notebook,4,Windows 10,1.49,0,1,1.6,Intel Core i5,Intel,500,0,165.6321180513006,791.7
Huawei,Ultrabook,8,Windows 10,1.05,0,1,2.5,Intel Core i5,Intel,0,256,199.69207064108247,1416.45
HP,Notebook,6,Windows 10,2.71,0,1,2.5,Intel Core i5,AMD,2000,0,127.33567457123112,733.95
Lenovo,Notebook,4,No OS,2.2,0,0,2.9,AMD Processor,AMD,500,0,100.45466986113652,324.45
Toshiba,Notebook,4,Windows 10,2.0,0,0,2.4,Intel Core i3,Intel,500,0,100.45466986113652,513.45
HP,Notebook,8,Windows 10,2.5,0,0,1.6,Intel Core i5,Nvidia,0,256,127.33567457123112,969.15
Dell,Notebook,8,Windows 10,2.3,0,0,2.4,Intel Core i3,Intel,1000,0,100.45466986113652,481.95
Acer,Notebook,4,Windows 10,2.1,0,0,2.0,Intel Core i3,Intel,0,128,100.45466986113652,471.45
MSI,Gaming,32,Windows 10,4.4,0,0,2.9,Intel Core i7,Nvidia,1000,512,119.7232157653423,2938.95
Lenovo,Notebook,8,Windows 10,1.9,0,0,2.5,Intel Core i5,AMD,1000,128,141.21199808219862,853.65
HP,2 in 1 Convertible,8,Windows 10,1.29,1,1,1.6,Intel Core i5,Intel,0,256,331.2642361026012,1573.95
Dell,Notebook,16,Linux,2.02,0,0,1.8,Intel Core i7,AMD,2000,256,141.21199808219862,1101.45
Dell,Ultrabook,8,Windows 10,1.23,0,0,1.6,Intel Core i5,Intel,0,256,165.6321180513006,1468.95
Lenovo,2 in 1 Convertible,16,Windows 10,1.4,1,1,1.8,Intel Core i7,Intel,0,512,316.96506044349616,1941.45
Toshiba,Notebook,8,Windows 10,2.0,0,0,2.5,Intel Core i5,Intel,0,128,100.45466986113652,832.65
Xiaomi,Notebook,8,No OS,1.95,0,1,1.6,Intel Core i5,Nvidia,0,256,141.21199808219862,1258.95
Dell,Notebook,16,Windows 10,2.77,1,0,1.8,Intel Core i7,Nvidia,0,512,127.33567457123112,1626.45
Dell,Notebook,16,Windows 10,2.06,1,0,2.8,Intel Core i7,Nvidia,0,512,282.42399616439724,2516.85
Lenovo,Gaming,8,No OS,2.4,0,1,2.5,Intel Core i5,Nvidia,0,256,141.21199808219862,817.95
Acer,Ultrabook,8,Windows 10,1.12,0,1,1.2,Intel Core i5,Intel,0,256,165.6321180513006,1038.45
Dell,Notebook,8,Windows 10,2.8,0,0,1.8,Intel Core i7,AMD,1000,128,127.33567457123112,1139.25
Lenovo,2 in 1 Convertible,16,Windows 10,1.42,1,0,2.7,Intel Core i7,Intel,0,1000,209.8006828649808,2965.2
Vero,Notebook,4,Windows 10,1.3,0,1,1.1,Other Intel Processor,Intel,0,0,157.3505121487356,273.0
Xiaomi,Ultrabook,8,No OS,1.3,0,1,2.5,Intel Core i5,Nvidia,0,256,165.6321180513006,1049.9
Lenovo,Notebook,8,No OS,2.8,0,0,1.6,Intel Core i5,Nvidia,0,256,106.11306214269258,732.9
Dell,2 in 1 Convertible,8,Windows 10,1.62,1,1,1.8,Intel Core i7,Intel,1000,0,165.6321180513006,880.95
HP,Notebook,8,Windows 10,2.5,0,1,1.6,Intel Core i5,Nvidia,1000,0,127.33567457123112,959.7
Razer,Gaming,32,Windows 10,3.49,1,0,2.9,Intel Core i7,Nvidia,0,1000,254.67134914246225,6403.95
HP,Notebook,8,Windows 10,1.49,0,0,1.6,Intel Core i5,Intel,0,512,165.6321180513006,1006.95
HP,Gaming,16,Windows 10,3.35,0,1,2.8,Intel Core i7,Nvidia,1000,256,127.33567457123112,1447.95
HP,Notebook,8,Windows 10,2.5,0,0,1.8,Intel Core i7,Nvidia,0,256,127.33567457123112,1097.25
Dell,Gaming,16,Windows 10,2.65,0,1,2.8,Intel Core i7,Nvidia,1000,512,282.42399616439724,1937.25
Lenovo,Notebook,4,Windows 10,2.1,0,0,2.3,Intel Core i5,Intel,0,128,100.45466986113652,517.65
Acer,Notebook,8,Windows 10,2.23,0,0,2.7,Intel Core i7,Nvidia,1000,0,141.21199808219862,779.1
Lenovo,Gaming,16,Windows 10,3.2,0,1,2.8,Intel Core i7,Nvidia,1000,512,141.21199808219862,1836.45
Dell,Workstation,16,Windows 10,2.8,0,0,3.0,Other Intel Processor,Nvidia,1000,256,282.42399616439724,3207.75
